,Name,Country,Address,Sector,Owner_operator,Solar thermal engineering company,Integrator company,Year,Collector technology,Collector name,Gross area,Total aperture area,Thermal power,heat transfer fluid,Energy storage,Storage volume,Conventional heat source,Fuel used,Use,Unit operation,Point of integration,Temperature range process,Temperature range solar loop (min/max),Total investment costs,Subsidy,System life time,Specific investment costs,Solar fraction,Contact,E-mail,Homepage,Sector grouped
53,Casa Cuervo SA de CV,mexico,"Guadalajara, Jalisco, Mexico",C11 - Manufacture of beverages,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,264.0,264.0,123.55,Water,Short-term water storage,9.6,Hot water boiler,Other,boiler preheating,Pasteurization,A2b) Heating of supply line,30/90,,94736.0,No Subsidies,,358.85,,,,,C11 - Manufacture of beverages
55,Centro Lechero Cooperativo de los Altos SCL,mexico,"Capilla de Guadalupe, Jalisco, Mexico",C10.5 - Manufacture of dairy products,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,197.0,197.0,94.5,Water,Short-term water storage,9.5,Hot water boiler,Other,cleaning equipment,Cleaning,A2b) Heating of supply line,19/92,,46144.0,No Subsidies,,234.23,,,,,C10 - Manufacture of food products
59,CIATEQ,mexico,"Av Manantiales 23, Querétaro, Mexiko","M - Professional, scientific and technical activities",CIATEQ,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,80.0,72.0,56.0,Water,Short-term water storage,4.0,Hot water boiler,Fuel oil,preheat of hot water,Drying,B1) Heating of process(es) / process vessel(s),60-80,60-90,22500.0,No Subsidies,25,281.25,65,,,,"M - Professional, scientific and technical activities"
65,COFICAB,mexico,"Av. Mina de Guadalupe #780, Parque Industrial Santa Fe IV, 36275 Silao, Gto.",C30 - Manufacture of other trasnport equipment,COFICAB MX S DE RL,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,25.0,22.5,17.5,Water,Short-term water storage,2.0,Steam boiler,Fuel oil,preheat of steam production,General process heating,A1) Heating of make-up water,60-90,60-90,7750.0,No Subsidies,25,310.0,65,,,,C30 - Manufacture of other trasnport equipment
69,COMFOSA SA de CV,mexico,"Lagos de Moreno, Jalisco, Mexico",C10.9 - Manufacture of prepared animal feeds,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,462.0,462.0,202.54,Water,Short-term water storage,15.2,Hot water boiler,Other,pelletized of birds,Other process heating,A2b) Heating of supply line,20/94,,118414.0,Firco subsidie,,256.31,,,,,C10 - Manufacture of food products
70,Conservas del Norte SA de CV,mexico,"Mochicahui, Sinaloa",C10 - Manufacture of food products,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,660.0,264.0,104.81,Water,Short-term water storage,9.0,Hot water boiler,Other,boiler preheating,Cooking,A1) Heating of make-up water,25/95,,117365.0,Firco subsidie,,177.83,,,,,C10 - Manufacture of food products
76,Destilería 501 S.A de C.V,mexico,"El Arenal, Jalisco, Mexico",C11 - Manufacture of beverages,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,198.0,198.0,94.6,Water,Short-term water storage,8.0,Hot water boiler,Other,boiler preheating,Evaporation and distillation,A2b) Heating of supply line,19/99,,59403.0,Firco subsidie,,300.02,,,,,C11 - Manufacture of beverages
79,Durango Dairy Company (Productos Lácteos COVBARS),mexico,"Av. Francisco Villa 1211, Villa de Guadalupe, Durango, Durango, Mexico. CP: 34040",C10.5 - Manufacture of dairy products,roductores Lácteos COVBARS S.P.R. DE R.L.,inventive power sapi de cv,inventive power sapi de cv,2013-01-01,parabolic trough collector,Power Trough 110,132.0,,92.4,Water,Short-term water storage,7.0,Steam boiler,Fuel oil,boiler preheating,Pasteurization,A1) Heating of make-up water,,20/95,40000.0,0.5,20 years,303.03,,,,,C10 - Manufacture of food products
84,Enfriadora Jaliciense S.A. de C.V.,mexico,"Carretera al puesto Km 6, Jalisco, Mexico",C10.5 - Manufacture of dairy products,,inventive power sapi de cv,inventive power sapi de cv,2014-01-01,parabolic trough collector,Power Trough 110,132.0,132.0,62.72,Water,Short-term water storage,10.0,Hot water boiler,Other,cheese production,Other process heating,A2b) Heating of supply line,19/92,,32677.0,Subsidies,,247.55,,,,,C10 - Manufacture of food products
93,Gamesa QUAKER PEPSICO Mexico,mexico,"Bilbao 12, Iztapalapa, San Juan Xalpa, 09850 Ciudad de México, CDMX",C10 - Manufacture of food products,Pepsico mexico S de RL de CV,modulo solar,modulo solar,2009-01-01,flat plate collector,HITEM BLUE,64.0,57.0,45.0,Water,Short-term water storage,4.0,Hot water boiler,Natural gas,preheat of hot water,General process heating,A3) Heating of supply heat storage,60/70,50/75,14500.0,No Subsidies,,226.56,75,,,,C10 - Manufacture of food products
98,Gatorade Mexico,mexico,"México - Queretaro Km 37.4, Parque Industrial Cuamatla, Industrial Cuamatla, 54730 Cuautitlán Izcalli, Méx",C11 - Manufacture of beverages,Pepsico mexico S de RL de CV,modulo solar,modulo solar,2009-01-01,flat plate collector,HIPER TINOX,56.0,50.0,39.0,Water,Short-term water storage,3.0,Hot water boiler,Natural gas,preheat of hot water,General process heating,A1) Heating of make-up water,60/70,50/75,12500.0,No Subsidies,,223.21,70,,,,C11 - Manufacture of beverages
99,General Electric Queretaro,mexico,"Santiago de Queretaro, México",C27 - Manufacture of electrical equipment,General Electric Infraestructure Queretaro,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,24.0,21.0,16.8,Water/Glycol,Short-term water storage,2.0,Steam boiler,Natural gas,preheat of steam production,General process heating,A1) Heating of make-up water,60-90,60-90,7400.0,No Subsidies,25,308.33,50,,,,C27 - Manufacture of electrical equipment
104,Glaxo smithkline mexico,mexico,"Calle 21 Este 104, Jiutepec, 62578 Jiutepec, Mor.",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Glaxo SmithkliNE,modulo solar,modulo solar,2011-01-01,flat plate collector,HIPER TINOX,360.0,340.0,252.0,Water,Short-term water storage,25.0,Steam boiler,Fuel oil,heat for production of emulsion,General process heating,A3) Heating of supply heat storage,70/80,50/85,90000.0,No Subsidies,25,250.0,75,,,,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
110,Grupo BIMBO,mexico,"Av. San Pablo Xalpa 520, Azcapotzalco, Reynosa Tamaulipas, 02200 Ciudad de México, CDMX",C10 - Manufacture of food products,Grupo Bimbo SAB de CV,modulo solar,modulo solar,2007-01-01,flat plate collector,HIPER TINOX,232.0,220.0,162.0,Water,Short-term water storage,15.0,Steam boiler,Natural gas,preheat of hot water,General process heating,A3) Heating of supply heat storage,60/80,55/85,60000.0,No Subsidies,25,258.62,65,,,,C10 - Manufacture of food products
111,Grupo Mirasol de Occidente SA de CV,mexico,"Capilla de Guadalupe, Jalisco, Mexico",C10.1 - Processing and preserving of meat and production of meat products,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,396.0,158.4,64.83,Water,Short-term water storage,5.0,Hot water boiler,Other,nan,Cooking,A1) Heating of make-up water,21/95,,59449.0,Firco subsidie,,150.12,,,,,C10 - Manufacture of food products
112,Grupo Mosa la Luz SA de CV,mexico,"Valle de Santiago, Guanajuato",C10 - Manufacture of food products,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,693.0,227.2,92.61,Water,Short-term water storage,9.6,Hot water boiler,Other,boiler preheating,cooking,A1) Heating of make-up water,55/110,,103491.0,No Subsidies,,149.34,,,,,C10 - Manufacture of food products
113,Guetermann polygal,mexico,"Calle 9 Este No. 86, Industrial Civac, 62500 Jiutepec, Mor.",C13 - Manufacture of textiles,Guetermann Polygal Mexicana SA de CV,modulo solar,modulo solar,2001-01-01,flat plate collector,MS 2.5 BLUE,450.0,415.0,315.0,Water,Short-term water storage,20.0,Hot water boiler,Other,preheat of hot water,General process heating,A1) Heating of make-up water,55/85,50/90,91000.0,No Subsidies,25,202.22,60,,,,C13 - Manufacture of textiles
130,IER UNAM,mexico,"Xochicalco, Azteca, 62588 Temixco, Mor.","M - Professional, scientific and technical activities",UNAM,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 CPC,75.0,69.0,52.5,Water/Glycol,No Solar Energy Storage,,Hot water boiler,Natural gas,preheat of steam production,General process heating,A1) Heating of make-up water,70-95,60-100,24800.0,No Subsidies,25,330.67,70,,,,"M - Professional, scientific and technical activities"
131,Imatec Tortilla Dough Factory,mexico,"Bosques de Acacias esq Bosque de Antequera Col Jardines de Morelos. Ecatepec, Mex","C10.6 - Manufacture of grain mill products, starches and starch products",IMATEC,modulo solar,modulo solar,2014-01-01,flat plate collector,MS 2.5 BLUE,125.0,113.0,87.5,Water,Short-term water storage,5.0,Hot water boiler,Other,preheat of hot water,cooking,B1) Heating of process(es) / process vessel(s),65-85,55-90,29250.0,No Subsidies,,234.0,70,,,,C10 - Manufacture of food products
135,Industria del maíz,mexico,"Santa Úrsula Coapa, 04650, Ciudad de México, CdMX",C10 - Manufacture of food products,Industria del Maíz,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,72.0,65.0,50.4,Water,Short-term water storage,3.5,Hot water boiler,Natural gas,preheat of water for cooking,Cooking,B1) Heating of process(es) / process vessel(s),65-80,65-85,21200.0,No Subsidies,25,294.44,65,,,,C10 - Manufacture of food products
136,Industria maíz,mexico,"Calzada de Talapan #3039, Santa Úrsula Coapa, Coyoacán, 04650, México, D.F.",C10 - Manufacture of food products,Industria del Maíz,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,72.0,65.0,50.4,Water,Short-term water storage,3.5,Hot water boiler,Natural gas,preheat of water for cooking,Cooking,B1) Heating of process(es) / process vessel(s),65-80,65-85,21200.0,No Subsidies,25,294.44,65,,,,C10 - Manufacture of food products
137,Industrias Cricotl,mexico,"AVENIDA GUELATAO 224, SANTA MARIA AZTAHUACAN, 09570 CIUDAD DE MEXICO",C10.7 - Manufacture of bakery and farinaceous products,INDUSTRIAS CRICOTL,modulo solar,modulo solar,2010-01-01,flat plate collector,HIPER TINOX,72.0,65.0,50.0,Water,Short-term water storage,3.0,Hot water boiler,Other,preheat of hot water,cooking,B1) Heating of process(es) / process vessel(s),55-85,50-90,19000.0,No Subsidies,25,263.89,72,,,,C10 - Manufacture of food products
138,Industrias Moso,mexico,"CALLE 23 ESTE 3 COL. CIVAC, JIUTEPEC, MORELOS CP 62578",C - Manufacturing,Industrias Moso,modulo solar,modulo solar,2016-01-01,flat plate collector,MS 2.5 BLUE,110.0,99.0,77.0,water,Short-term water storage,5.0,Hot water boiler,Other,preheat of galvanoplasty process,surface treatment,B1) Heating of process(es) / process vessel(s),60-80,50-85,21780.0,0,25,198.0,80,,,,C - Manufacturing
139,Industrias Verona Galvanoplasty,mexico,"Maíz 157, Granjas Esmeralda, 09810 Ciudad de México, CDMX","C25 - Manufacture of fabricated metal products, except machinery and equipment",Industrias Verona,modulo solar,modulo solar,2004-01-01,flat plate collector,HIPER TINOX,64.0,57.0,44.0,Water,Short-term water storage,3.5,Hot water boiler,Fuel oil,galvanoplasty process,surface treatment,B1) Heating of process(es) / process vessel(s),70-85,60-90,14000.0,No Subsidies,,218.75,70,,,,"C25 - Manufacture of fabricated metal products, except machinery and equipment"
144,ITEC Culiacan,mexico,"Juan de Dios Batiz SN, Instituto Tecnológico de Culiácan, Guadalupe; 80220","M - Professional, scientific and technical activities",Instituto Tecnológico de Culiacán,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 CPC,60.0,55.0,42.0,,No Solar Energy Storage,,Steam boiler,Fuel oil,preheat of steam production,General process heating,B1) Heating of process(es) / process vessel(s),75-110,75-110,21500.0,No Subsidies,25,358.33,60,,,,"M - Professional, scientific and technical activities"
159,KOF Mixcoac,mexico,"01600, 5 de Mayo 400, Meced Gómez, Ciudad de México, CdMX",C11 - Manufacture of beverages,KOF,modulo solar,modulo solar,2018-01-01,flat plate collector,Hiper Tinox,125.0,112.0,87.5,,Short-term water storage,10.0,Steam boiler,Natural gas,heating of make up water,General process heating,A1) Heating of make-up water,50-70,50-85,47000.0,No Subsidies,25,376.0,60,,,,C11 - Manufacture of beverages
160,KOF Tlanepantla,mexico,"Cale Abraham Lincoln #1, Puente de Vigas, 54070 Tlanepantla, Mex",C11 - Manufacture of beverages,KOF,modulo solar,modulo solar,2018-01-01,flat plate collector,Hiper Tinox,45.0,40.0,31.5,Water,Short-term water storage,2.5,Steam boiler,Natural gas,heating of make up water,General process heating,A1) Heating of make-up water,50-70,50-85,16700.0,No Subsidies,25,371.11,60,,,,C11 - Manufacture of beverages
168,La Parrena copper mine,mexico,"La Parrena, Mexico",B - Mining and quarrying,Peñoles,arconsunmark,nan,2016-01-01,flat plate collector,Arcon-Sunmark,6270.0,,4400.0,,,,,,heat demand of copper mine,other process heating,different integration points (see remarks),,,1.0,1,,0.0,,,,,B - Mining and quarrying
169,La Trinidad,mexico,"Teocaltiche, Jalisco",C10.5 - Manufacture of dairy products,La Trinidad,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,226.78,120.0,59.9,water,Steam accumulation tank,4.8,Hot water boiler,Natural gas,boiler preheating,other process heating,A1) Heating of make-up water,90,20/90,48050.0,No Subsidies,,211.88,,,,,C10 - Manufacture of food products
172,Lácteos Mojica,mexico,"Santa María del Valle, Jalisco, Mexico",C10.5 - Manufacture of dairy products,,inventive power sapi de cv,inventive power sapi de cv,2016-01-01,parabolic trough collector,Power Trough 110,132.0,132.0,59.88,Water,Short-term water storage,4.5,Hot water boiler,Other,boiler preheating,pasteurization,A2b) Heating of supply line,20/95,,36894.0,No Subsidies,,279.5,,,,,C10 - Manufacture of food products
173,Lacto Productos  El Indio,mexico,"San José de Gracia, Michoacán",C10.5 - Manufacture of dairy products,Lacto productos EL INDIO  SA de CV,inventive power sapi de cv,inventive power sapi de cv,2012-01-01,parabolic trough collector,Power Trough 110,132.0,132.0,74.0,Water,Short-term water storage,5000.0,Steam boiler,Fuel oil,process heat,Other process heating,A1) Heating of make-up water,,20/95,44200.0,0.5,>20,334.85,,,,,C10 - Manufacture of food products
176,Lavin Industries,mexico,"9 Este 24, Civac, 62578 Jiutepec, MOR",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Lavin Industries,modulo solar,modulo solar,2012-01-01,flat plate collector,MS 2.5 BLUE,525.0,500.0,367.0,Water,Short-term water storage,20.0,Hot water boiler,Fuel oil,direct production of emulsions,general process heating,B1) Heating of process(es) / process vessel(s),60-75,60-90,130000.0,No Subsidies,,247.62,70,,,,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
182,Liomont Laboratories,mexico,"Acueducto del Alto Lerma, Parque Industrial, Ocoyoacac, Estado de México",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Laboratorios Liomont SA de CV,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,75.0,68.0,52.5,Water/Glycol,Short-term water storage,4.0,Hot water boiler,Natural gas,preheat of hot water,General process heating,A1) Heating of make-up water,60-80,50-90,28000.0,No Subsidies,25,373.33,60,,,,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
183,L'oreal Mexico,mexico,"Prol. División del Nte. 5152, Amp San Marcos Nte, 16038 Ciudad de México, CDMX",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Loreal-Paris Mexico,modulo solar,modulo solar,2009-01-01,flat plate collector,HIPER TINOX,154.0,138.0,107.0,Water,Short-term water storage,8.0,Steam boiler,Fuel oil,preheat of hot water,general process heating,A1) Heating of make-up water,55-75,50-80,37000.0,No Subsidies,,240.26,70,,,,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
191,Marinela CDMX,mexico,"Av San Pablo Xalpa 2, Santa Barbara, Ciudad de México, CDMX",C10 - Manufacture of food products,Marinela SA DE CV,modulo solar,modulo solar,2008-01-01,flat plate collector,HIPER TINOX,164.0,145.0,114.0,Water,Short-term water storage,9.0,Steam boiler,Natural gas,preheat of hot water,general process heating,A1) Heating of make-up water,60-70,55-75,39500.0,No Subsidies,25,240.85,70,,,,C10 - Manufacture of food products
194,Matatlan Dairy,mexico,"Matatlán, Zapotlanejo, Jalisco.",C10.5 - Manufacture of dairy products,,inventive power sapi de cv,inventive power sapi de cv,2013-01-01,parabolic trough collector,Power Trough 110,66.0,,46.2,Water,Short-term water storage,2.5,Steam boiler,Other,the solar thermal system was installed before the conventional heat source it was necessary to open the circuit between the makeup water and the conventional heat source (steam boiler) once the circuit was opened thermal energy storage was installed,general process heating,B3) Heating of process heat storage,,"18,5 to 80-100 °C",23039.0,Venture Capital Trust (FIRCO as its acronym in Spanish Lan-guage),>25,349.08,20,,,,C10 - Manufacture of food products
200,Mexlub,mexico,"Centeno 193, Valle del Sur, 09819 Ciudad de México, CDMX",C20 - Manufacture of chemicals and chemical products,Mexlub SA de CV,modulo solar,modulo solar,2015-01-01,flat plate collector,MS 2.5 BLUE,50.0,45.0,35.0,Water,Short-term water storage,3.0,Hot water boiler,Fuel oil,preheat of hot water,general process heating,A1) Heating of make-up water,60-75,55-80,13000.0,No Subsidies,,260.0,70,,,,C20 - Manufacture of chemicals and chemical products
204,Minera el Rob Peñoles,mexico,"VELARDEÑA,DURANGO",B - Mining and quarrying,Industrias Peñoles SAB de CV,modulo solar,modulo solar,2012-01-01,flat plate collector,MS 2.5 BLUE,330.0,297.0,231.0,Water/Glycol,Short-term water storage,15.0,Hot water boiler,Natural gas,preheat of hot water,general process heating,A1) Heating of make-up water,60-80,55-85,80850.0,No Subsidies,25,245.0,65,,,,B - Mining and quarrying
212,Nestle Chiapas,mexico,"Carretera Panamericana Km. 1103, Benito Juárez, 29160 Chiapa de Corzo, Chis",C10 - Manufacture of food products,Nestle,modulo solar,modulo solar,2010-01-01,flat plate collector,HIPER TINOX,650.0,620.0,455.0,Water,Short-term water storage,25.0,Steam boiler,Natural gas,preheat of steam production,general process heating,A3) Heating of supply heat storage,90,65/85,160000.0,No Subsidies,20,246.15,60,,,,C10 - Manufacture of food products
213,Nestle Dairy Plant Chapa de Corzo,mexico,"Chiapa de Corzo, México",C10.5 - Manufacture of dairy products,Nestle de Mexico,inventive power sapi de cv,inventive power sapi de cv,2014-01-01,parabolic trough collector,Power Trough 110,224.5,224.5,126.0,Water,Short-term water storage,5.0,Steam boiler,Other,heating water,pasteurization,A3) Heating of supply heat storage,90,80/95,100000.0,No Subsidies,25,445.43,,,,,C10 - Manufacture of food products
214,Nestle Dairy Plant Lagos de Moreno,mexico,"Lagos de Moreno, Jalisco",C10.5 - Manufacture of dairy products,Nestle de Mexico,inventive power sapi de cv,inventive power sapi de cv,2014-01-01,parabolic trough collector,Power Trough 110,245.0,245.0,137.0,Water,Short-term water storage,5.0,Steam boiler,Natural gas,heating water,pasteurization,A3) Heating of supply heat storage,90,80/95,130000.0,No Subsidies,,530.61,,,,,C10 - Manufacture of food products
216,Nestle. Toluca,mexico,"Av. Industrial Automotriz S/N Manzana 520 Lote 8, Parque Industrial El Coecillo, 50200 Toluca de Lerdo, Méx.",C10 - Manufacture of food products,Nestle,modulo solar,modulo solar,2009-01-01,unglazed collector,ECOSUN,3700.0,3560.0,2590.0,Water,Other,500.0,Steam boiler,Natural gas,preheat of steam production,general process heating,A1) Heating of make-up water,37,40/45,270000.0,No Subsidies,20,72.97,30,,,,C10 - Manufacture of food products
