,Name,Country,Address,Sector,Owner_operator,Solar thermal engineering company,Integrator company,Year,Collector technology,Collector name,Gross area,Total aperture area,Thermal power,heat transfer fluid,Energy storage,Storage volume,Conventional heat source,Fuel used,Use,Unit operation,Point of integration,Temperature range process,Temperature range solar loop (min/max),Total investment costs,Subsidy,System life time,Specific investment costs,Solar fraction,Contact,E-mail,Homepage,Sector grouped
37,Bonilait Dairy,France,Poitiers,C10.5 - Manufacture of dairy products,EDF Optimal Solutions (ESCO),"viessmann, sunoptimo",nan,2014-01-01,flat plate collector,Vitosol 200,1500.0,,1050.0,water/glycol,short-term water storage,30.0,hot water boiler,biomass,cleaning processes,cleaning,B3) Heating of process heat storage,80°C,,1.0,no subsidies,,0.0,,,"Wolfgang Glatzl, AEE INTEC, based on Solarthermalworld article",w.glatzl@aee.at,C10 - Manufacture of food products
38,Bourdouil,France,23 rue Alfred Sauvy – 66002 RIVESALTES,C11 - Manufacture of beverages,CVR Bourdouil - La Martiniquaise,tecsol,tecsol,2014-01-01,flat plate collector,Viessmann Vitosol 100,105.0,74.0,52.0,water/glycol,short-term water storage,6.0,hot water boiler,natural gas,bottle cleaning with tap water,cleaning,C) Other integration points (please specify),15-70,,70000.0,33000,25,666.67,,,Daniel Mugnier,daniel.mugnier@tecsol.fr,C11 - Manufacture of beverages
39,Brauerei Hald (brewery for beverages),Germany,"Hofener Str. 19, 89561 Dischingen",C11 - Manufacture of beverages,the brewery company,phönix sonnenwärme ag,heinz zoller (planner / engineer),2012-01-01,flat plate collector,Phönix Infinity 323,25.1,23.1,19.6,water/glycol,short-term water storage,3.0,hot water boiler,fuel oil,cleaning and thermal prethreating of bottles,cleaning,A3) Heating of supply heat storage,60°C,40-120°C,16780.0,4680,25,668.53,15,,Torsten Wich,torsten.wich@sonnenwaermeag.de,C11 - Manufacture of beverages
40,Brewery Hald,Germany,Hofener Straße 19; D-89561 Dunstelkingen,C11 - Manufacture of beverages,Brewery holder,phönix sonnenwärme ag,heinz zoller (planning engineer),2012-01-01,flat plate collector,PHOENIX INFINITY323,25.1,23.1,19.75,water/glycol,short-term water storage,1.5,hot water boiler,fuel oil,"washing and thermal preparation of the bottles, before filling",cleaning,B3) Heating of process heat storage,60-90°C (maximum),60 - 120°C,14100.0,4680,,561.75,,,Torsten Wich,torsten.wich@sonnenwaermeag.de,C11 - Manufacture of beverages
41,Brewery Radoy,Ukraine,"Kiev, Ukraine",C11 - Manufacture of beverages,Brewery Radoy,gasokol gmbh,brewery radoy,2016-01-01,flat plate collector,sunnySolXL UP,216.0,,151.2,Water/glycol,Short-term water storage,15.0,Other,Natural gas,nan,General process heating,C) Other integration points,,,1.0,No subsidies,,0.0,,GASOKOL GmbH,christian.kloibhofer@gasokol.at,www.gasokol.at,C11 - Manufacture of beverages
42,Brown's Brewing Co,United States,"Hoosick, New York",C11 - Manufacture of beverages,,the radiant store,nan,,flat plate collector,,53.0,,37.1,,Short-term water storage,4.0,Hot water boiler,Other,nan,Cleaning,A1) Heating of make-up water,,,46838.0,40378,25,883.74,,SEIA,kstainken@seia.org,,C11 - Manufacture of beverages
43,Buenavista Greenhouse,México,"Buenavista, Jalisco, México","A - Agriculture, forestry and fishing",,inventive power sapi de cv,inventive power sapi de cv,2013-01-01,parabolic trough collector,Power Trough 110,66.0,,36.0,Water/Glycol,Short-term water storage,2.5,Hot water boiler,Natural gas,space heating,Heating of production halls,B3) Heating of process heat storage,,20/80,20000.0,0.5,,303.03,,,,,"A - Agriculture, forestry and fishing"
44,Canels SA de CV,México,"San Luis Potosi, San Luis Potosi, Mexico",C10 - Manufacture of food products,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,80.0,264.0,118.0,Water,Short-term water storage,2.0,Steam boiler,Natural gas,preparation of chewing gum,Cooling processes,C) Other integration points (please specify),25/80,,84307.0,No Subsidies,,1053.84,,,,,C10 - Manufacture of food products
45,Caritas-Werkstätten: Wäscherei,Germany,Diedenhofener Straße Trier,S - Other services activities,Caritas-Werkstätten,ecoscop trier,ecoscop trier,2008-01-01,flat plate collector,KT-2008,80.0,,56.0,water/glycol,short-term water storage,5.6,hot water boiler,natural gas,hot water in laundry,cleaning,B2) Heating of process medium (please specify),20 to 90°C,up to 95°C,32000.0,no subsidies,,400.0,,,Matthias Gebauer,ecoscop@t-online.de,S - Other services activities
46,Carnes la laguna slaughterhouse,México,"Km. 8 Carretera a Cd. Juárez Durango #40, Cd. Lerdo, Dgo",C10.1 - Processing and preserving of meat and production of meat products,Carnes la laguna sa de cv,modulo solar,modulo solar,2009-01-01,evacuated tube collector,SPO-1500,99.0,80.0,69.0,Water,Short-term water storage,6.0,Hot water boiler,Fuel oil,cleaning of slaughterhouse,Cleaning,A1) Heating of make-up water,65-80,55-85,39000.0,No Subsidies,,393.94,70,,,,C10 - Manufacture of food products
47,Carnes MUMA,México,"Aurelio Anaya Pérez 250, Cd Industrial, Torreón, Coah.",C10.1 - Processing and preserving of meat and production of meat products,Carnes MUMA SA de CV,modulo solar,modulo solar,2009-01-01,evacuated tube collector,SPO-1500,72.0,64.0,50.0,Water,Short-term water storage,5.0,Chp plant,Natural gas,nan,Cleaning,A1) Heating of make-up water,60-80,50-90,26000.0,No Subsidies,20,361.11,60,,,,C10 - Manufacture of food products
48,Carnes selectas de mexico SA de CV,México,"Colonia polvora, mexicali",C10.1 - Processing and preserving of meat and production of meat products,Carnes selectas de mexico SA de CV,modulo solar,modulo solar,2017-01-01,flat plate collector,MS 2.5 BLUE,175.0,158.0,122.5,Water/Glycol,Short-term water storage,5.0,Hot water boiler,Natural gas,preheat of hot water,Cleaning,A1) Heating of make-up water,55-85,50-90,49000.0,50,25,280.0,65,,,,C10 - Manufacture of food products
49,Carnes Selectas de Sonora SA de CV,México,"Zapopan, Jalisco, Mexico",C10.1 - Processing and preserving of meat and production of meat products,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,46.2,46.2,22.2,Water,Short-term water storage,3.0,Hot water boiler,Other,cleaning equipment,Cleaning,A2b) Heating of supply line,20/70,,13281.0,No Subsidies,,287.47,,,,,C10 - Manufacture of food products
50,Carpentry Hamminger,Austria,Lohnsburg,C31 - Manufacture of furniture,Möbeltischlerei Hamminger (First Class Holz),sonnen energie gmbh,xsolar austria,1994-01-01,flat plate collector,,88.0,,61.6,water/glycol,,14.0,,,wood drying,drying,C) Other integration points (please specify),,25 - 115,28952.0,no subsidies,0,329.0,,,Wolfgang Glatzl,w.glatzl@aee.at,C31 - Manufacture of furniture
51,Carriers & Sons,United States,California,C10 - Manufacture of food products,Carriers & Sons,solarwall®,solarwall®,2002-01-01,air collector,,300.0,,210.0,,,1.0,,,walnuts drying,Drying,B1) Heating of process(es) / process vessel(s),43 max,,1.0,No subsidies,0,0.0,,Solarwall,jhollick@solarwall.com,,C10 - Manufacture of food products
52,Casa Armando Guillermo Prieto SA de CV,México,"Tlacolula de Matamoros, Oaxaca, Mexico",C11 - Manufacture of beverages,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,326.7,326.7,136.79,Water,Short-term water storage,9.9,Hot water boiler,Other,boiler preheating,Evaporation and distillation,A2b) Heating of supply line,21/90,,109007.0,No Subsidies,,333.66,,,,,C11 - Manufacture of beverages
53,Casa Cuervo SA de CV,México,"Guadalajara, Jalisco, Mexico",C11 - Manufacture of beverages,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,264.0,264.0,123.55,Water,Short-term water storage,9.6,Hot water boiler,Other,boiler preheating,Pasteurization,A2b) Heating of supply line,30/90,,94736.0,No Subsidies,,358.85,,,,,C11 - Manufacture of beverages
54,CBC Brewery,South Africa,"Suid-Agter Paarl Road, Paarl, 7624, Südafrika",C11 - Manufacture of beverages,CBC Brewery,e3 energy,"e3 energy, aee intec",2015-01-01,flat plate collector,GREENoneTEC,120.0,,84.0,,Short-term water storage,10.0,Other,,process heat (brew water and cleaning processes),Other process heating,B3) Heating of process heat storage,,,1.0,No information on subsidy,,0.01,,AEE INTEC,w.glatzl@aee.at,,C11 - Manufacture of beverages
55,Centro Lechero Cooperativo de los Altos SCL,México,"Capilla de Guadalupe, Jalisco, Mexico",C10.5 - Manufacture of dairy products,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,197.0,197.0,94.5,Water,Short-term water storage,9.5,Hot water boiler,Other,cleaning equipment,Cleaning,A2b) Heating of supply line,19/92,,46144.0,No Subsidies,,234.23,,,,,C10 - Manufacture of food products
56,Chalmar Beef Pty (Ltd),South Africa,"R25, Bapsfontein, 1510, South Africa",C10 - Manufacture of food products,Chalmar Beef,energyweb,energyweb,2015-01-01,flat plate collector,Genergy GA2000FP,121.2,111.6,39.0,,,,Hot water boiler,Other,ablution process,Cleaning,A3) Heating of supply heat storage,,,1.0,0,,0.01,,AEE INTEC,m.spoerk-duer@aee.at,,C10 - Manufacture of food products
57,Chelsea Jeans,India,Chelsia jeans imt manesar,C14 - Manufacture of wearing apparel,Chelsia Jeans,intersolar india,nan,2006-01-01,flat plate collector,,943.0,,660.1,,Short-term water storage,60.0,Steam boiler,Fuel oil,hot water for dyeing processes,Bleaching,C) Other integration points,,,54640.0,,20,57.94,,IEA Task 49,w.glatzl@aee.at,http://www.undp.org/content/dam/india/docs/user%E2%80%99s_handbook_on_solar_water_heaters.pdf,C14 - Manufacture of wearing apparel
58,Chongqing Beverage,China,Chongqing,C11 - Manufacture of beverages,,himin solar co ltd,nan,2009-01-01,evacuated tube collector,,405.0,243.0,283.5,,,,,,"heating for warehouse in winter, hot water supply fo production in other season",other process heating,C) Other integration points (please specify),,,0.01,no information available,,0.0,,,Wolfgang Glatzl with Daniel Hui,w.glatzl@aee.at,C11 - Manufacture of beverages
59,CIATEQ,México,"Av Manantiales 23, Querétaro, Mexiko","M - Professional, scientific and technical activities",CIATEQ,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,80.0,72.0,56.0,Water,Short-term water storage,4.0,Hot water boiler,Fuel oil,preheat of hot water,Drying,B1) Heating of process(es) / process vessel(s),60-80,60-90,22500.0,No Subsidies,25,281.25,65,,,,"M - Professional, scientific and technical activities"
60,Cider house Hostetin,Czech Republic,"Hostetin, Czech rebublic",C11 - Manufacture of beverages,Hostetin,tinox,aee intec,2001-01-01,flat plate collector,TINOX,36.0,,25.2,water/glycol,short-term water storage,9.0,,,"heating, preheating of cider before pasteurization, and for bottle washing",pasteurization,A3) Heating of supply heat storage,,,1.0,not known,,0.03,,,Wolfgang Glatzl,w.glatzl@aee.at,C11 - Manufacture of beverages
61,Clarks Hotel,India,Jaipur,I - Accommodation and food service activities,Clarks Hotel,thermax limited,thermax limited,2010-01-01,various collector,Scheffler Dishes,80.0,80.0,56.0,,,,,Other,heat application in its laundry & chlorification applications,Other process heating,C) Other integration points,,,17871.38,"3679,4",,223.39,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,I - Accommodation and food service activities
62,Clean Park,Germany,Freudenstadt,S - Other services activities,Clean Park,paradigma,genkinger wasser wärme gmbh,1996-01-01,flat plate collector,,24.0,,16.8,,,0.85,,,car washing facility,cleaning,C) Other integration points (please specify),,20 - 90,13512.0,no information available,0,563.0,,,Wolfgang Glatzl,w.glatzl@aee.at,S - Other services activities
63,Coca Cola Shanghai,China,Shanghai,C11 - Manufacture of beverages,"Shanghai Coca Cola beverage Co., Ltd",himin solar co ltd,nan,2008-01-01,evacuated tube collector,,995.0,597.0,696.5,,,,,,nan,other process heating,C) Other integration points (please specify),,,0.01,no information available,,0.0,,,Daniel Hui,solartrade@himin.com,C11 - Manufacture of beverages
